Symbol,Timeframe,EntryLots,SL1Points,Sl2Points,Sl3Points,Sl4Points,Tgt1Lots,Tgt2Lots,Tgt3Lots,Tgt4Lots,T1Percent,T2Percent,T3Percent,T4Percent,StartTime,StopTime,Market
NIFTY25DEC26000CE,1,300,5,5,5,5,75,75,75,75,13.6,13.6,15,16,11:40,14:00,IO
NIFTY25DEC26000PE,1,300,5,5,5,5,75,75,75,75,13.6,13.6,15,16,11:40,14:00,IO
NIFTY25DEC26050PE,1,300,5,5,5,5,75,75,75,75,13.6,13.6,15,16,11:40,14:00,IO
NIFTY25DECFUT,5,300,50,50,50,50,75,75,75,75,2,3,4,5,11:40,14:00,UL
SBIN-EQ,5,4,10,10,10,10,1,1,1,1,2,3,4,5,11:40,14:00,UL
